                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.0048,                 1.7064,                0.84853,                 1.1099,                 0.8606,                0.78669,                0.88229,                 0.5956,                0.85379,                0.77728,                0.86702,                0.58913,                 1.1092,                  1.681,                0.76694,                 1.2321,              0.0095644,              0.0095644,              0.0095644
                     24,                0.99875,                  1.714,                0.83219,                 1.0984,                0.83534,                0.75768,                 0.8512,                0.58854,                0.86065,                0.75884,                 0.8492,                0.58379,                 1.1017,                 1.6718,                0.81198,                 1.2397,              0.0095446,              0.0095446,              0.0095446
                     25,                0.98464,                 1.6927,                0.83228,                 1.0972,                0.88931,                0.75597,                 0.8789,                0.60928,                0.89312,                0.75939,                0.87578,                0.60606,                 1.0755,                 1.5979,                0.78374,                  1.207,              0.0095248,              0.0095248,              0.0095248
                     26,                0.98587,                 1.6898,                0.82566,                 1.0936,                0.85895,                0.77304,                 0.8742,                0.59755,                0.85071,                0.76621,                0.86292,                0.59641,                 1.0941,                 1.6404,                 0.7722,                  1.231,               0.009505,               0.009505,               0.009505
                     27,                0.97588,                 1.6666,                0.79891,                 1.0885,                0.86224,                0.76962,                0.86542,                0.60012,                 0.8718,                0.77816,                0.86425,                0.59347,                 1.0664,                 1.6754,                0.80955,                 1.2023,              0.0094852,              0.0094852,              0.0094852
                     28,                0.96203,                 1.6507,                0.79396,                 1.0904,                0.88222,                0.76962,                0.87249,                0.58952,                0.88613,                0.77304,                0.86904,                 0.5868,                 1.1025,                 1.6811,                0.77279,                 1.2589,              0.0094654,              0.0094654,              0.0094654
                     29,                0.95692,                 1.6498,                0.78639,                 1.0784,                 0.8696,                 0.7372,                0.84575,                0.58663,                0.86875,                0.74232,                0.84585,                0.58242,                  1.071,                 1.6192,                0.77893,                 1.2227,              0.0094456,              0.0094456,              0.0094456
                     30,                0.94503,                 1.6367,                0.78192,                 1.0752,                0.86037,                0.77812,                0.86668,                0.59347,                0.88556,                 0.7659,                0.86136,                0.58886,                 1.1038,                 1.6341,                0.76915,                 1.2421,              0.0094258,              0.0094258,              0.0094258
                     31,                0.95089,                 1.6531,                0.77326,                 1.0775,                0.79727,                0.78519,                 0.8439,                0.57873,                0.86495,                0.73224,                0.83815,                0.57536,                  1.125,                  1.596,                0.81565,                 1.2405,               0.009406,               0.009406,               0.009406
                     32,                0.94321,                 1.6172,                0.76724,                 1.0706,                0.82999,                0.80205,                0.88184,                0.61142,                0.85243,                0.77874,                 0.8749,                0.60139,                   1.07,                 1.5845,                0.76535,                  1.202,              0.0093862,              0.0093862,              0.0093862
                     33,                0.92652,                 1.5987,                0.75993,                 1.0635,                0.86187,                0.78792,                0.88653,                 0.6158,                0.87012,                 0.7884,                0.88415,                0.60444,                 1.0591,                 1.5738,                0.73302,                 1.1949,              0.0093664,              0.0093664,              0.0093664
                     34,                0.92041,                  1.594,                 0.7429,                 1.0633,                0.81293,                0.80088,                0.85374,                0.57725,                0.82433,                0.80375,                0.86011,                 0.5749,                 1.1112,                 1.6504,                0.78631,                 1.2246,              0.0093466,              0.0093466,              0.0093466
                     35,                 0.9163,                 1.6123,                0.73907,                 1.0586,                0.85549,                0.78799,                0.88533,                0.62286,                0.86403,                0.79181,                0.88985,                0.62047,                 1.0462,                  1.523,                0.70764,                 1.1679,              0.0093268,              0.0093268,              0.0093268
                     36,                0.92485,                 1.5836,                0.74141,                  1.064,                0.78649,                0.83959,                0.87415,                0.60665,                0.78329,                0.83618,                0.87285,                0.60517,                 1.0641,                 1.5979,                0.73287,                 1.2082,               0.009307,               0.009307,               0.009307
                     37,                0.90455,                 1.6098,                0.72747,                 1.0574,                0.89714,                0.78498,                0.89401,                0.61652,                0.89909,                0.78669,                0.88863,                0.61563,                 1.0466,                  1.519,                0.70566,                 1.1997,              0.0092872,              0.0092872,              0.0092872
                     38,                0.91547,                 1.5657,                0.73461,                 1.0597,                0.85468,                  0.843,                0.90289,                0.62167,                0.85957,                0.84609,                0.90511,                0.62358,                 1.0639,                 1.5629,                0.69669,                 1.2209,              0.0092674,              0.0092674,              0.0092674
                     39,                 0.9034,                 1.5551,                0.72641,                 1.0509,                0.89635,                0.80375,                0.90401,                0.63378,                0.90561,                0.81229,                0.90517,                0.62487,                 1.0381,                 1.5788,                0.68914,                 1.1762,              0.0092476,              0.0092476,              0.0092476
                     40,                0.90774,                 1.5413,                0.72201,                 1.0536,                 0.8908,                0.82594,                  0.913,                0.64331,                0.88341,                0.83276,                0.91136,                0.63553,                 1.0372,                 1.5109,                0.65805,                 1.1793,              0.0092278,              0.0092278,              0.0092278
                     41,                0.89444,                 1.5425,                0.72095,                 1.0481,                0.85953,                 0.7884,                0.88276,                0.61867,                0.86673,                0.78157,                0.87568,                0.59948,                 1.0749,                 1.6959,                0.72957,                  1.207,               0.009208,               0.009208,               0.009208
                     42,                0.88683,                 1.5457,                0.69678,                 1.0445,                0.86249,                0.84471,                0.90572,                0.63171,                0.87632,                0.85154,                0.90512,                0.62465,                 1.0654,                 1.6108,                0.65405,                 1.2099,              0.0091882,              0.0091882,              0.0091882
                     43,                 0.8871,                 1.5118,                0.70012,                 1.0487,                0.85901,                0.82594,                0.89091,                0.63066,                0.86139,                0.82765,                0.89047,                0.62054,                 1.0322,                 1.5553,                0.68642,                 1.1889,              0.0091684,              0.0091684,              0.0091684
                     44,                0.88962,                 1.5128,                0.69419,                 1.0423,                0.86283,                0.81582,                0.89626,                0.63255,                0.86464,                0.81752,                0.89678,                0.62619,                 1.0181,                 1.5224,                0.68178,                  1.173,              0.0091486,              0.0091486,              0.0091486
                     45,                0.88427,                 1.5286,                0.69628,                 1.0379,                0.85771,                0.83321,                0.90138,                0.62505,                0.86359,                0.83618,                0.89413,                0.61328,                 1.0374,                 1.6066,                0.68177,                 1.1724,              0.0091288,              0.0091288,              0.0091288
                     46,                0.87291,                 1.5269,                0.68278,                 1.0367,                0.84842,                0.83788,                0.89662,                0.62905,                0.84597,                 0.8435,                0.89371,                0.62945,                 1.0397,                 1.4899,                0.67789,                 1.1873,               0.009109,               0.009109,               0.009109
                     47,                0.87339,                 1.5211,                0.68257,                 1.0389,                0.85058,                 0.8257,                0.88994,                0.62504,                0.84882,                  0.824,                0.88399,                0.62174,                 1.0269,                 1.5445,                0.67957,                 1.1833,              0.0090892,              0.0090892,              0.0090892
                     48,                0.87144,                 1.5088,                0.68138,                 1.0342,                0.89578,                0.80887,                 0.9011,                0.63789,                0.90434,                0.82272,                0.90351,                0.63842,                 1.0114,                 1.4792,                0.66975,                 1.1674,              0.0090694,              0.0090694,              0.0090694
                     49,                0.87701,                 1.5102,                0.68474,                  1.033,                 0.8483,                0.81113,                0.89825,                0.63513,                0.86807,                0.80546,                0.90377,                0.62801,                 1.0398,                 1.5017,                  0.689,                 1.1777,              0.0090496,              0.0090496,              0.0090496
                     50,                0.86554,                 1.4898,                0.66474,                 1.0314,                0.84918,                 0.7879,                0.88334,                 0.6119,                0.86841,                0.78157,                0.88268,                0.60002,                 1.0522,                 1.5617,                0.71756,                 1.1979,              0.0090298,              0.0090298,              0.0090298
                     51,                0.85928,                 1.4869,                0.66736,                 1.0314,                0.90166,                0.81366,                0.90078,                0.62649,                0.89737,                0.80717,                0.89056,                0.62557,                 1.0436,                 1.5762,                0.67035,                 1.1866,                0.00901,                0.00901,                0.00901
                     52,                0.85758,                 1.4587,                0.66562,                  1.029,                0.87241,                0.82765,                0.89833,                 0.6261,                 0.8669,                0.83447,                0.89941,                0.62557,                 1.0374,                 1.5159,                0.68743,                 1.1764,              0.0089902,              0.0089902,              0.0089902
                     53,                0.85049,                 1.4643,                0.65981,                 1.0293,                0.89616,                0.82475,                0.91069,                0.65093,                0.89941,                0.82423,                0.90982,                 0.6386,                 1.0161,                 1.4801,                0.64626,                 1.1634,              0.0089704,              0.0089704,              0.0089704
                     54,                  0.841,                 1.4804,                0.65369,                 1.0186,                 0.8797,                0.82253,                0.91123,                0.64046,                0.90983,                0.79352,                0.90351,                0.63114,                 1.0337,                 1.4807,                0.65534,                 1.1636,              0.0089506,              0.0089506,              0.0089506
                     55,                0.85917,                 1.4774,                0.66561,                 1.0269,                   0.84,                0.82425,                 0.9005,                0.62862,                0.85423,                0.84004,                0.90263,                0.62621,                 1.0177,                  1.495,                0.68414,                 1.1741,              0.0089308,              0.0089308,              0.0089308
                     56,                0.83467,                 1.4425,                0.64085,                 1.0183,                0.89124,                0.83901,                0.91524,                0.66064,                0.89137,                0.83788,                0.90638,                0.64545,                0.96587,                 1.4784,                0.62917,                 1.1343,               0.008911,               0.008911,               0.008911
                     57,                0.83122,                 1.4395,                0.64303,                  1.012,                0.86527,                0.84812,                0.91611,                0.64913,                0.86875,                0.85154,                0.91642,                0.63833,                 1.0164,                 1.4879,                0.63555,                 1.1642,              0.0088912,              0.0088912,              0.0088912
                     58,                0.83354,                 1.4326,                0.63842,                  1.012,                0.86168,                0.85046,                0.91251,                 0.6515,                0.86341,                0.85217,                0.90726,                0.64133,                 1.0017,                 1.5018,                0.63753,                 1.1535,              0.0088714,              0.0088714,              0.0088714
